idx p0 p1 p2 Rew Vel Str Cdc tE StrRtio GaitT StncT
0 1.000000 1.000000 1.000000 0.403133 1.066500 1.339423 96.071698 0.110598 0.566264 1.252168 0.709058
1 1.000000 1.000000 1.020000 0.428035 1.087677 1.350255 97.788210 0.109715 0.564533 1.228809 0.693704
2 1.000000 1.000000 1.040000 0.429481 1.095572 1.354258 98.667359 0.108694 0.563404 1.218660 0.686598
3 1.000000 1.000000 1.060000 0.445231 1.123578 1.355368 99.979925 0.107394 0.560830 1.203037 0.674699
4 1.000000 1.000000 1.080000 0.457520 1.132513 1.358045 100.435941 0.107199 0.566138 1.197461 0.677928
5 1.000000 1.000000 1.100000 0.475054 1.158679 1.361644 103.105308 0.105790 0.564693 1.165132 0.657942
6 1.000000 1.000000 1.120000 0.484528 1.168218 1.365792 103.808712 0.105822 0.558559 1.157781 0.646690
7 1.000000 1.000000 1.140000 0.517655 1.194655 1.369868 104.981289 0.103929 0.560441 1.144302 0.641313
8 1.000000 1.000000 1.160000 0.501238 1.215192 1.373956 106.777098 0.102144 0.562796 1.124802 0.633033
9 1.000000 1.000000 1.180000 0.500990 1.230278 1.375860 107.990266 0.100237 0.562888 1.112054 0.625962
10 1.000000 1.000000 1.200000 0.549942 1.235001 1.373577 108.421309 0.101681 0.562245 1.107745 0.622824
11 1.000000 1.000000 1.220000 0.473373 1.271544 1.381737 109.610417 0.099823 0.561350 1.102552 0.618917
12 1.000000 1.000000 1.240000 0.491490 1.287663 1.379944 112.074707 0.099782 0.562170 1.071767 0.602515
13 1.000000 1.000000 1.260000 0.500381 1.291871 1.386771 112.899487 0.099273 0.561094 1.064886 0.597501
14 1.000000 1.000000 1.280000 0.492086 1.311402 1.387833 112.773896 0.098497 0.550980 1.070892 0.590040
15 1.000000 1.000000 1.300000 0.487590 1.337530 1.388460 115.838533 0.097784 0.560563 1.036583 0.581070
16 1.000000 1.000000 1.320000 0.466901 1.345625 1.391783 116.146172 0.098004 0.558676 1.034742 0.578085
17 1.000000 1.000000 1.340000 0.471454 1.365614 1.390415 118.118699 0.096468 0.558361 1.017879 0.568344
18 1.000000 1.000000 1.360000 0.459203 1.389535 1.397105 119.879845 0.095144 0.552250 1.002807 0.553800
19 1.000000 1.000000 1.380000 0.473308 1.404533 1.392300 121.087744 0.095256 0.556119 0.992885 0.552162
20 1.000000 1.000000 1.400000 0.452015 1.430125 1.405302 122.829813 0.093927 0.550810 0.978957 0.539220
21 1.000000 1.000000 1.420000 0.453842 1.436967 1.402812 123.334789 0.094494 0.559939 0.975135 0.546016
22 1.000000 1.000000 1.440000 0.445994 1.470765 1.450582 124.139518 0.093883 0.546846 0.986888 0.539676
23 1.000000 1.000000 1.460000 0.455898 1.490857 1.434936 126.785516 0.092867 0.548798 0.964828 0.529496
24 1.000000 1.000000 1.480000 0.489760 1.501181 1.409387 128.102464 0.092677 0.552454 0.938295 0.518365
25 1.000000 1.000000 1.500000 0.457744 1.521196 1.411572 129.586839 0.092525 0.544818 0.927684 0.505419
