idx p0 p1 p2 Rew Vel Str Cdc tE StrRtio GaitT StncT
0 1.000000 1.000000 1.000000 0.443277 1.055765 1.322396 98.805550 64.993491 0.593101 1.215720 0.721044
1 1.000000 1.000000 1.020000 0.511498 1.085220 1.305255 99.820747 58.238406 0.590230 1.203112 0.710113
2 1.000000 1.000000 1.040000 0.530456 1.078162 1.310788 99.613861 59.975442 0.586075 1.206059 0.706841
3 1.000000 1.000000 1.060000 0.532703 1.102996 1.325396 102.666466 61.587666 0.585866 1.169568 0.685210
4 1.000000 1.000000 1.080000 0.562689 1.133269 1.327460 103.120545 56.576187 0.592090 1.163924 0.689148
5 1.000000 1.000000 1.100000 0.618732 1.145989 1.307387 104.442970 55.958143 0.609236 1.149123 0.700087
6 1.000000 1.000000 1.120000 0.546004 1.155456 1.318772 105.200335 54.814360 0.604018 1.142006 0.689793
7 1.000000 1.000000 1.140000 0.594768 1.160907 1.326397 105.699739 52.703286 0.588655 1.136147 0.668799
8 1.000000 1.000000 1.160000 0.603603 1.205251 1.320338 108.863380 51.971515 0.599520 1.102515 0.660980
9 1.000000 1.000000 1.180000 0.595021 1.211758 1.346790 108.481757 51.281037 0.595605 1.107181 0.659442
10 1.000000 1.000000 1.200000 0.614363 1.234920 1.344981 110.508681 50.578719 0.602863 1.086131 0.654787
11 1.000000 1.000000 1.220000 0.520318 1.258620 1.336157 112.312468 49.546228 0.600659 1.068704 0.641926
12 1.000000 1.000000 1.240000 0.587008 1.259183 1.366109 111.809609 49.293333 0.615353 1.073442 0.660546
13 1.000000 1.000000 1.260000 0.491413 1.270357 1.341901 113.095058 48.523350 0.588703 1.062299 0.625379
14 1.000000 1.000000 1.280000 0.612770 1.306916 1.349469 115.213650 45.982068 0.607598 1.041576 0.632860
15 1.000000 1.000000 1.300000 0.560897 1.325000 1.352322 117.144492 44.430683 0.599052 1.024851 0.613939
16 1.000000 1.000000 1.320000 0.523758 1.336983 1.353392 117.038321 46.058525 0.611236 1.025521 0.626835
17 1.000000 1.000000 1.340000 0.407306 1.351011 1.426841 119.801466 46.576816 0.586053 1.004934 0.588945
18 1.000000 1.000000 1.360000 0.496022 1.372859 1.365871 120.300736 43.046569 0.597181 0.998251 0.596136
19 1.000000 1.000000 1.380000 0.438555 1.382948 1.345798 121.418484 44.304761 0.599513 0.989051 0.592949
20 1.000000 1.000000 1.400000 0.501375 1.410542 1.341428 123.289445 41.111931 0.620113 0.975000 0.604610
21 1.000000 1.000000 1.420000 0.486349 1.423023 1.364983 124.862525 41.803586 0.601977 0.961820 0.578993
22 1.000000 1.000000 1.440000 0.505750 1.448764 1.376240 127.083643 40.232863 0.603754 0.945417 0.570799
23 1.000000 1.000000 1.460000 0.480193 1.444134 1.343992 126.769764 39.738781 0.607126 0.947080 0.574997
24 1.000000 1.000000 1.480000 0.464543 1.475758 1.358261 129.702953 39.030251 0.605298 0.926326 0.560703
25 1.000000 1.000000 1.500000 0.503476 1.524384 1.374325 132.622273 38.150302 0.592097 0.905745 0.536289
