idx p0 p1 p2 Rew Vel Str Cdc tE StrRtio GaitT StncT
0 1.000000 1.000000 1.000000 0.458533 1.057724 1.298287 99.095715 61.394736 0.595353 1.212151 0.721658
1 1.000000 1.000000 1.020000 0.442753 1.085990 1.440065 102.540277 57.644217 0.574056 1.171042 0.672244
2 1.000000 1.000000 1.040000 0.470832 1.087854 1.305651 100.428370 60.447473 0.595153 1.195847 0.711712
3 1.000000 1.000000 1.060000 0.479831 1.113576 1.318771 101.333429 60.461755 0.601424 1.185597 0.713047
4 1.000000 1.000000 1.080000 0.491394 1.118272 1.308825 102.838037 57.789726 0.599192 1.167601 0.699617
5 1.000000 1.000000 1.100000 0.522104 1.149566 1.319650 104.610930 55.728011 0.598383 1.148217 0.687073
6 1.000000 1.000000 1.120000 0.599695 1.164858 1.325797 104.999293 53.975283 0.604535 1.143344 0.691192
7 1.000000 1.000000 1.140000 0.594818 1.177082 1.319429 106.779209 53.751671 0.594701 1.124408 0.668687
8 1.000000 1.000000 1.160000 0.569906 1.184774 1.331250 107.163397 53.469480 0.587714 1.120194 0.658353
9 1.000000 1.000000 1.180000 0.579651 1.201790 1.326894 108.147094 53.328531 0.601421 1.109966 0.667557
10 1.000000 1.000000 1.200000 0.604643 1.238924 1.338766 110.548002 50.169132 0.598958 1.085845 0.650376
11 1.000000 1.000000 1.220000 0.555877 1.252885 1.339820 111.582737 48.628765 0.596510 1.076136 0.641926
12 1.000000 1.000000 1.240000 0.544289 1.271061 1.340588 112.957632 48.001346 0.601425 1.062920 0.639267
13 1.000000 1.000000 1.260000 0.580532 1.287445 1.341610 114.600977 46.685519 0.599815 1.047356 0.628220
14 1.000000 1.000000 1.280000 0.554448 1.299361 1.341872 115.617600 46.658148 0.598283 1.038215 0.621146
15 1.000000 1.000000 1.300000 0.522239 1.318728 1.352334 116.355626 46.070288 0.595334 1.031850 0.614296
16 1.000000 1.000000 1.320000 0.492305 1.339798 1.350216 118.308296 44.227497 0.594297 1.015000 0.603211
17 1.000000 1.000000 1.340000 0.507511 1.351196 1.351302 119.403457 44.860567 0.595516 1.006181 0.599197
18 1.000000 1.000000 1.360000 0.479507 1.368137 1.363105 120.788152 43.714893 0.594407 0.994474 0.591122
19 1.000000 1.000000 1.380000 0.490167 1.397246 1.371069 122.372140 42.713172 0.594335 0.982049 0.583666
20 1.000000 1.000000 1.400000 0.489281 1.414564 1.367873 123.885649 41.313395 0.593405 0.969585 0.575356
21 1.000000 1.000000 1.420000 0.509330 1.424885 1.355499 125.043578 41.931844 0.602668 0.960867 0.579084
22 1.000000 1.000000 1.440000 0.474079 1.443928 1.363959 127.257775 40.210871 0.594460 0.944056 0.561204
23 1.000000 1.000000 1.460000 0.443339 1.460972 1.365172 127.504858 41.131060 0.575694 0.942568 0.542631
24 1.000000 1.000000 1.480000 0.511588 1.481594 1.364994 129.651600 39.358399 0.595336 0.927012 0.551884
25 1.000000 1.000000 1.500000 0.472209 1.514378 1.371526 132.012335 38.924540 0.596974 0.909993 0.543242
